cinsiyet;fakulte;bolum;ders;egitim;platform;performans;haber1;haber2;haber3;haber4;haber5;haber6;haber7;haber8;haber9;haber10;haber11;haber12;haber13;haber14;haber15;haber16;haber17;haber18;haber19;haber20;haber21;haber22;haber23;haber24;arastirma;ders_acilsin_mi;performans_kotu
Kadın;Fen Fakültesi;Biyoloji;Hayır;Hayır;Diğer;20;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;5;Hayır;4
Erkek;Fen Fakültesi;Matematik;Hayır;Hayır;Twitter;16;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;0;0;3;Evet;8
Erkek;Mühendislik Fakültesi;Gıda Mühendisliği;Hayır;Hayır;Twitter;17;1;0;1;1;0;0;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;Hayır;7
Kadın;Fen Fakültesi;Biyoloji;Evet;Hayır;Twitter;15;0;1;1;0;1;0;1;1;0;1;1;0;1;0;0;1;1;1;1;1;0;1;0;1;3;Hayır;9
Kadın;Fen Fakültesi;Biyoloji;Evet;Hayır;Haber Uygulamaları;14;0;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;0;0;2;Hayır;10
Kadın;Fen Fakültesi;Biyoloji;Evet;Hayır;Instagram;11;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;1;0;1;1;4;Hayır;13
Kadın;Fen Fakültesi;Matematik;Hayır;Hayır;Twitter;11;1;1;1;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;4;Evet;13
Erkek;Mühendislik Fakültesi;Bilgisayar Mühendisliği;Hayır;Evet;Diğer;14;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;1;0;1;1;1;5;Evet;10
Kadın;Fen Fakültesi;Matematik;Hayır;Hayır;TV;13;0;1;1;0;0;1;1;0;1;1;1;0;1;1;0;0;1;1;0;1;0;1;0;0;4;Evet;11
Erkek;Mühendislik Fakültesi;Bilgisayar Mühendisliği;Hayır;Hayır;Haber Web Siteleri;14;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;1;0;1;4;Evet;10
Kadın;Mühendislik Fakültesi;Gıda Mühendisliği;Hayır;Hayır;Haber Web Siteleri;11;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;1;1;1;1;1;0;1;0;0;4;Evet;13
Erkek;Eğitim Fakültesi;Matematik Öğretmenliği;Evet;Hayır;Haber Web Siteleri;14;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;4;Evet;10
Erkek;Mühendislik Fakültesi;Nükleer Enerji Mühendisliği;Hayır;Evet;Diğer;17;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;0;0;1;1;4;Hayır;7
Erkek;Mühendislik Fakültesi;Bilgisayar Mühendisliği;Hayır;Hayır;Haber Web Siteleri;15;0;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;5;Evet;9
Erkek;Mühendislik Fakültesi;Elektrik-Elektronik Mühendisliği;Hayır;Hayır;Instagram;17;0;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;4;Hayır;7
Erkek;Mühendislik Fakültesi;Hidrojeoloji Mühendisliği;Hayır;Hayır;Twitter;18;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;1;0;1;4;Hayır;6
Erkek;Mühendislik Fakültesi;Bilgisayar Mühendisliği;Hayır;Hayır;Twitter;18;1;1;0;0;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;4;Evet;6
Erkek;Mühendislik Fakültesi;Elektrik-Elektronik Mühendisliği;Hayır;Hayır;Twitter;14;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;0;1;Hayır;10
Erkek;Mühendislik Fakültesi;Elektrik-Elektronik Mühendisliği;Evet;Hayır;Haber Uygulamaları;16;1;1;1;0;1;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;0;4;Hayır;8
Erkek;Mühendislik Fakültesi;İnşaat Mühendisliği;Hayır;Hayır;Instagram;16;0;1;1;0;1;1;0;1;0;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;4;Hayır;8
Erkek;Fen Fakültesi;Kimya;Hayır;Hayır;Instagram;20;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;3;Hayır;4
Erkek;Fen Fakültesi;Kimya;Hayır;Hayır;Twitter;13;0;1;0;0;1;0;0;1;0;0;1;0;1;1;1;0;1;0;1;0;1;1;1;1;3;Evet;11
Erkek;Fen Fakültesi;Kimya;Hayır;Evet;Haber Web Siteleri;18;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;1;5;Evet;6
Erkek;Fen Fakültesi;Kimya;Hayır;Hayır;Instagram;12;1;0;1;0;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;1;0;0;1;0;4;Hayır;12
Kadın;Fen Fakültesi;Biyoloji;Hayır;Hayır;Haber Web Siteleri;11;0;1;0;1;0;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;3;Evet;13
Kadın;Fen Fakültesi;Kimya;Hayır;Hayır;Instagram;16;0;1;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;0;1;0;0;4;Hayır;8
Kadın;Fen Fakültesi;İstatistik;Hayır;Hayır;Instagram;18;0;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;4;Evet;6
Erkek;Fen Fakültesi;İstatistik;Hayır;Hayır;Twitter;13;1;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;1;0;0;3;Evet;11
Kadın;Eğitim Fakültesi;Okul Öncesi Öğretmenliği;Hayır;Hayır;TV;15;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;4;Evet;9
Kadın;Eğitim Fakültesi;Fen Bilgisi Öğretmenliği;Evet;Hayır;Haber Web Siteleri;11;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;1;1;0;1;4;Evet;13
Kadın;Fen Fakültesi;Biyoloji;Hayır;Hayır;Twitter;11;1;1;0;0;1;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;2;Evet;13
Kadın;Mühendislik Fakültesi;Gıda Mühendisliği;Hayır;Hayır;Twitter;16;0;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;0;1;1;0;1;3;Evet;8
Kadın;Mühendislik Fakültesi;Gıda Mühendisliği;Hayır;Hayır;Instagram;16;1;1;0;1;1;0;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;1;1;1;3;Evet;8
Kadın;Eğitim Fakültesi;İngilizce Öğretmenliği;Hayır;Hayır;Instagram;18;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;3;Hayır;6
Erkek;Mühendislik Fakültesi;Fizik Mühendisliği;Hayır;Hayır;TV;16;0;1;1;1;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;0;1;0;1;2;Evet;8
Erkek;Eğitim Fakültesi;Biyoloji Öğretmenliği;Hayır;Hayır;Twitter;12;1;0;0;1;1;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;1;5;Hayır;12
Kadın;Eğitim Fakültesi;Fransızca Öğretmenliği;Hayır;Hayır;Twitter;17;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;1;1;1;0;0;4;Hayır;7
Erkek;Eğitim Fakültesi;Fransızca Öğretmenliği;Hayır;Hayır;Instagram;14;1;0;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;0;1;1;1;1;1;0;3;Hayır;10
Kadın;Eğitim Fakültesi;Biyoloji Öğretmenliği;Hayır;Hayır;Twitter;17;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1;0;1;3;Evet;7
Kadın;Eğitim Fakültesi;Fizik Öğretmenliği;Hayır;Hayır;Twitter;15;1;1;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;3;Evet;9
Kadın;Eğitim Fakültesi;Fizik Öğretmenliği;Hayır;Hayır;Haber Web Siteleri;17;1;1;1;1;0;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;0;0;4;Evet;7
Erkek;Eğitim Fakültesi;Almanca Öğretmenliği;Hayır;Hayır;Instagram;14;1;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;3;Hayır;10
Erkek;Eğitim Fakültesi;Almanca Öğretmenliği;Hayır;Hayır;Twitter;17;1;0;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;1;1;1;4;Evet;7
Kadın;Eğitim Fakültesi;Fizik Öğretmenliği;Hayır;Hayır;Twitter;13;0;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;0;1;0;0;0;1;0;1;3;Evet;11
Kadın;Eğitim Fakültesi;Almanca Öğretmenliği;Hayır;Hayır;Haber Web Siteleri;9;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;3;Evet;15
Kadın;Fen Fakültesi;Biyoloji;Hayır;Hayır;Twitter;15;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;4;Evet;9
Erkek;Eğitim Fakültesi;Almanca Öğretmenliği;Hayır;Hayır;Instagram;12;1;0;1;0;1;0;1;1;0;0;1;1;1;0;0;1;0;0;1;0;0;1;1;0;4;Hayır;12
Kadın;Eğitim Fakültesi;Biyoloji Öğretmenliği;Hayır;Hayır;Instagram;15;0;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;0;0;1;1;1;1;0;1;5;Evet;9
Kadın;Eğitim Fakültesi;Biyoloji Öğretmenliği;Hayır;Hayır;Instagram;11;1;1;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;1;4;Evet;13
Kadın;Eğitim Fakültesi;Kimya Öğretmenliği;Hayır;Hayır;Twitter;17;0;1;1;1;0;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;0;1;0;1;2;Evet;7
Kadın;Eğitim Fakültesi;Kimya Öğretmenliği;Hayır;Hayır;Twitter;13;0;1;1;0;0;0;1;0;1;1;1;1;1;1;0;0;1;1;1;0;0;1;0;0;3;Evet;11
Kadın;Eğitim Fakültesi;Kimya Öğretmenliği;Evet;Hayır;Haber Web Siteleri;19;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;5;Hayır;5
Kadın;Eğitim Fakültesi;Kimya Öğretmenliği;Hayır;Hayır;Instagram;8;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;0;0;0;1;1;2;Evet;16
Kadın;Eğitim Fakültesi;Fransızca Öğretmenliği;Hayır;Hayır;Twitter;14;0;0;0;1;1;1;0;1;0;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;5;Evet;10
Kadın;Eğitim Fakültesi;Fransızca Öğretmenliği;Hayır;Hayır;Instagram;12;0;1;1;0;0;1;1;1;1;0;1;0;1;0;1;1;1;0;1;0;0;0;0;0;4;Evet;12
Erkek;Eğitim Fakültesi;Fransızca Öğretmenliği;Hayır;Hayır;Instagram;15;1;1;0;0;1;0;0;1;1;1;1;0;1;0;1;1;1;1;1;0;0;1;0;1;4;Evet;9
Erkek;Eğitim Fakültesi;Fransızca Öğretmenliği;Hayır;Hayır;Twitter;16;1;1;1;1;0;0;0;1;1;1;1;0;1;1;0;0;1;1;1;1;0;0;1;1;3;Hayır;8
Erkek;Eğitim Fakültesi;Fransızca Öğretmenliği;Hayır;Hayır;Haber Uygulamaları;16;1;1;1;1;0;0;1;1;0;0;1;0;1;1;0;1;1;1;1;0;1;1;0;1;4;Hayır;8
Erkek;Eğitim Fakültesi;Fransızca Öğretmenliği;Hayır;Hayır;Haber Uygulamaları;16;1;1;1;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;3;Hayır;8
Kadın;Eğitim Fakültesi;İngilizce Öğretmenliği;Evet;Hayır;Haber Web Siteleri;16;0;1;1;0;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;1;3;Evet;8
Erkek;Eğitim Fakültesi;Özel Eğitim Öğretmenliği;Hayır;Hayır;Haber Uygulamaları;8;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;4;Hayır;16
Kadın;Eğitim Fakültesi;Fransızca Öğretmenliği;Evet;Hayır;Twitter;14;0;1;0;1;1;1;1;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1;4;Evet;10
Erkek;Fen Fakültesi;Biyoloji;Hayır;Hayır;Haber Uygulamaları;18;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;2;Evet;6
Erkek;İletişim Fakültesi;İletişim Bilimleri;Hayır;Hayır;Haber Web Siteleri;13;1;1;0;1;0;0;0;1;0;0;1;0;1;1;1;0;1;1;1;0;1;1;0;0;4;Evet;11
Kadın;İletişim Fakültesi;İletişim Bilimleri;Evet;Evet;Twitter;17;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;4;Evet;7
Kadın;İletişim Fakültesi;İletişim Bilimleri;Hayır;Hayır;Instagram;15;1;1;1;0;1;0;1;1;1;0;0;0;1;1;1;1;1;0;1;1;0;1;0;0;4;Evet;9
Kadın;İletişim Fakültesi;İletişim Bilimleri;Hayır;Hayır;Diğer;18;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;4;Evet;6
Kadın;İletişim Fakültesi;İletişim Bilimleri;Hayır;Hayır;Diğer;16;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;0;1;5;Evet;8
Kadın;İletişim Fakültesi;İletişim Bilimleri;Evet;Evet;Haber Uygulamaları;14;0;1;0;1;1;0;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1;0;1;3;Evet;10
Erkek;İletişim Fakültesi;İletişim Bilimleri;Hayır;Hayır;Twitter;16;1;1;1;0;1;0;1;1;0;1;1;0;0;1;1;0;1;1;1;1;1;0;0;1;5;Evet;8
Erkek;Fen Fakültesi;İstatistik;Hayır;Evet;Haber Web Siteleri;14;1;1;0;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;1;0;1;0;1;3;Hayır;10
Kadın;Fen Fakültesi;İstatistik;Hayır;Hayır;Twitter;16;1;0;0;1;0;0;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;3;Evet;8
Erkek;Fen Fakültesi;İstatistik;Evet;Evet;Diğer;12;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;4;Hayır;12
Erkek;Fen Fakültesi;İstatistik;Evet;Hayır;Haber Uygulamaları;18;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;2;Evet;6
Erkek;Fen Fakültesi;İstatistik;Evet;Hayır;Twitter;17;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;4;Evet;7
Kadın;Fen Fakültesi;İstatistik;Hayır;Hayır;Instagram;15;0;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;0;1;0;1;0;0;4;Evet;9
Kadın;Fen Fakültesi;İstatistik;Hayır;Hayır;TV;12;1;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;0;1;1;1;1;3;Evet;12
Kadın;Fen Fakültesi;İstatistik;Hayır;Hayır;Haber Web Siteleri;16;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;0;0;1;5;Evet;8
Kadın;Fen Fakültesi;İstatistik;Hayır;Hayır;Instagram;15;1;1;0;0;0;0;0;1;1;0;1;1;0;1;1;1;1;0;1;1;0;1;1;1;3;Evet;9
Kadın;Fen Fakültesi;İstatistik;Evet;Evet;Twitter;12;0;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;1;1;0;1;1;1;0;1;4;Evet;12
Erkek;Fen Fakültesi;İstatistik;Hayır;Hayır;Diğer;20;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;3;Evet;4
Kadın;İletişim Fakültesi;İletişim Bilimleri;Hayır;Hayır;Twitter;14;0;1;0;1;1;0;1;1;0;1;1;0;1;1;0;0;1;1;1;0;0;1;1;0;3;Evet;10
Erkek;Fen Fakültesi;İstatistik;Hayır;Hayır;Haber Web Siteleri;15;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;1;4;Hayır;9
Kadın;Fen Fakültesi;İstatistik;Hayır;Hayır;Twitter;15;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;0;0;2;Evet;9
Kadın;Fen Fakültesi;Aktüerya Bilimleri;Hayır;Hayır;Twitter;15;1;0;0;1;1;0;0;1;1;0;1;1;0;1;0;0;1;1;1;1;0;1;1;1;1;Hayır;9
Kadın;Fen Fakültesi;İstatistik;Hayır;Hayır;Twitter;18;0;1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;4;Evet;6
